plate	row	col	a750	stype	detail	dilution	mgml	flag
12	A	1	0.496	standard	1.6	1	1.6	
12	A	2	0.401	standard	0.8	1	0.965406747793151	
12	A	3	0.327	standard	0.4	1	0.450573166345712	
12	A	4	0.3	standard	0.2	1	0.262728481222998	
12	A	5	0.284	standard	0.1	1	0.15141311226139	
12	A	6	0.26	standard	0.0	1	0.1	
12	A	7	0.471	standard	1.6	1	1.45241148700019	
12	A	8	0.374	standard	0.8	1	0.777562062670437	
12	A	9	0.314	standard	0.4	1	0.360129429064405	
12	A	10	0.279	standard	0.2	1	0.116627059460887	
12	A	11	0.279	standard	0.1	1	0.116627059460887	
12	A	12	0.253	standard	0.0	1	0.1	
12	B	1	0.341	sample	10AR	1	0.547974114187119	
12	B	2	0.342	sample	10AR	1	0.55493132474722	
12	B	3	0.328	sample	11A	1	0.457530376905813	
12	B	4	0.317	sample	11A	1	0.381001060744707	
12	B	5	0.321	sample	11B	1	0.408829902985109	
12	B	6	0.319	sample	11B	1	0.394915481864908	
12	B	7	0.317	sample	11CR	1	0.381001060744707	
12	B	8	0.317	sample	11CR	1	0.381001060744707	
12	B	9	0.299	sample	11DR	1	0.255771270662897	
12	B	10	0.288	sample	11DR	1	0.179241954501792	
12	B	11	0.348	sample	11ER	1	0.596674588107823	
12	B	12	0.344	sample	11ER	1	0.568845745867421	
12	C	1	0.331	sample	12A	1	0.478402008586114	
12	C	2	0.334	sample	12A	1	0.499273640266416	
12	C	3	0.313	sample	12B	1	0.353172218504305	
12	C	4	0.337	sample	12B	1	0.520145271946717	
12	C	5	0.319	sample	13A	1	0.394915481864908	
12	C	6	0.295	sample	13A	1	0.227942428422495	
12	C	7	0.323	sample	13B	1	0.42274432410531	
12	C	8	0.302	sample	13B	1	0.276642902343199	
12	C	9	0.294	sample	14A	1	0.220985217862395	
12	C	10	0.275	sample	14A	1	0.1	
12	C	11	0.307	sample	14B	1	0.311428955143702	
12	C	12	0.283	sample	14B	1	0.144455901701289	
12	D	1	0.353	sample	15A	1	0.631460640908325	
12	D	2	0.339	sample	15A	1	0.534059693066918	
12	D	3	0.314	sample	16A	1	0.360129429064405	
12	D	4	0.303	sample	16A	1	0.2836001129033	
12	D	5	0.289	sample	17A	1	0.186199165061892	
12	D	6	0.306	sample	17A	1	0.304471744583601	
12	D	7	0.331	sample	18A	1	0.478402008586114	
12	D	8	0.3	sample	18A	1	0.262728481222998	
12	D	9	0.308	sample	19A	1	0.318386165703802	
12	D	10	0.286	sample	19A	1	0.16532753338159	
12	D	11	0.303	sample	20A	1	0.2836001129033	
12	D	12	0.278	sample	20A	1	0.109669848900787	
12	E	1	0.411	sample	21A	1	1.03497885339416	
12	E	2	0.398	sample	21A	1	0.944535116112849	
12	E	3	0.434	sample	22A	1	1.19499469627647	
12	E	4	0.434	sample	22A	1	1.19499469627647	
12	E	5	0.521	sample	22B	1	1.6	
12	E	6	0.498	sample	22B	1	1.6	
12	E	7	0.384	sample	23AR	1	0.847134168271442	
12	E	8	0.375	sample	23AR	1	0.784519273230537	
12	E	9	0.354	sample	24A	1	0.638417851468426	
12	E	10	0.322	sample	24A	1	0.415787113545209	
12	E	11	0.291	sample	25A	1	0.200113586182093	
12	E	12	0.28	sample	25A	1	0.123584270020988	
12	F	1	0.318	sample	26A	1	0.387958271304808	
12	F	2	0.319	sample	26A	1	0.394915481864908	
12	F	3	0.336	sample	27AR	1	0.513188061386617	
12	F	4	0.357	sample	27AR	1	0.659289483148728	
12	F	5	0.344	sample	27B	1	0.568845745867421	
12	F	6	0.334	sample	27B	1	0.499273640266416	
12	F	7	0.333	sample	27C	1	0.492316429706315	
12	F	8	0.311	sample	27C	1	0.339257797384104	
12	F	9	0.352	sample	27D	1	0.624503430348225	
12	F	10	0.314	sample	27D	1	0.360129429064405	
12	F	11	0.385	sample	27ER	1	0.854091378831542	
12	F	12	0.327	sample	27ER	1	0.450573166345712	
12	G	1	0.335	sample	28A	1	0.506230850826517	
12	G	2	0.365	sample	28A	1	0.714947167629532	
12	G	3	0.35	sample	29A	1	0.610589009228024	
12	G	4	0.352	sample	29A	1	0.624503430348225	
12	G	5	0.345	sample	29BR	1	0.575802956427521	
12	G	6	0.353	sample	29BR	1	0.631460640908325	
12	G	7	0.342	sample	29C	1	0.55493132474722	
12	G	8	0.33	sample	29C	1	0.471444798026014	
12	G	9	0.283	sample	30AR	1	0.144455901701289	
12	G	10	0.267	sample	30AR	1	0.1	
12	G	11	0.281	sample	31AR	1	0.130541480581088	
12	G	12	0.267	sample	31AR	1	0.1	
12	H	1	0.303	sample	32A	1	0.2836001129033	
12	H	2	0.302	sample	32A	1	0.276642902343199	
12	H	3	0.297	sample	32B	1	0.241856849542696	
12	H	4	0.293	sample	32B	1	0.214028007302294	
12	H	5	0.35	sample	33A	1	0.610589009228024	
12	H	6	0.318	sample	33A	1	0.387958271304808	
12	H	7	0.335	sample	33B	1	0.506230850826517	
12	H	8	0.352	sample	33B	1	0.624503430348225	
12	H	9	0.301	sample	34A	1	0.269685691783099	
12	H	10	0.283	sample	34A	1	0.144455901701289	
12	H	11	0.281	sample	35AR	1	0.130541480581088	
12	H	12	0.262	sample	35AR	1	0.1	
