User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 9
Test name: A750,Date: 10/27/2017,Time: 2:29:03 PM
Absorbance

Well Row,Well Col,Content,Raw Data (750BP),
A,1,Sample X1,0.496,
A,2,Sample X2,0.401,
A,3,Sample X3,0.327,
A,4,Sample X4,0.300,
A,5,Sample X5,0.284,
A,6,Sample X6,0.260,
A,7,Sample X7,0.471,
A,8,Sample X8,0.374,
A,9,Sample X9,0.314,
A,10,Sample X10,0.279,
A,11,Sample X11,0.279,
A,12,Sample X12,0.253,
B,1,Sample X13,0.341,
B,2,Sample X14,0.342,
B,3,Sample X15,0.328,
B,4,Sample X16,0.317,
B,5,Sample X17,0.321,
B,6,Sample X18,0.319,
B,7,Sample X19,0.317,
B,8,Sample X20,0.317,
B,9,Sample X21,0.299,
B,10,Sample X22,0.288,
B,11,Sample X23,0.348,
B,12,Sample X24,0.344,
C,1,Sample X25,0.331,
C,2,Sample X26,0.334,
C,3,Sample X27,0.313,
C,4,Sample X28,0.337,
C,5,Sample X29,0.319,
C,6,Sample X30,0.295,
C,7,Sample X31,0.323,
C,8,Sample X32,0.302,
C,9,Sample X33,0.294,
C,10,Sample X34,0.275,
C,11,Sample X35,0.307,
C,12,Sample X36,0.283,
D,1,Sample X37,0.353,
D,2,Sample X38,0.339,
D,3,Sample X39,0.314,
D,4,Sample X40,0.303,
D,5,Sample X41,0.289,
D,6,Sample X42,0.306,
D,7,Sample X43,0.331,
D,8,Sample X44,0.300,
D,9,Sample X45,0.308,
D,10,Sample X46,0.286,
D,11,Sample X47,0.303,
D,12,Sample X48,0.278,
E,1,Sample X49,0.411,
E,2,Sample X50,0.398,
E,3,Sample X51,0.434,
E,4,Sample X52,0.434,
E,5,Sample X53,0.521,
E,6,Sample X54,0.498,
E,7,Sample X55,0.384,
E,8,Sample X56,0.375,
E,9,Sample X57,0.354,
E,10,Sample X58,0.322,
E,11,Sample X59,0.291,
E,12,Sample X60,0.280,
F,1,Sample X61,0.318,
F,2,Sample X62,0.319,
F,3,Sample X63,0.336,
F,4,Sample X64,0.357,
F,5,Sample X65,0.344,
F,6,Sample X66,0.334,
F,7,Sample X67,0.333,
F,8,Sample X68,0.311,
F,9,Sample X69,0.352,
F,10,Sample X70,0.314,
F,11,Sample X71,0.385,
F,12,Sample X72,0.327,
G,1,Sample X73,0.335,
G,2,Sample X74,0.365,
G,3,Sample X75,0.350,
G,4,Sample X76,0.352,
G,5,Sample X77,0.345,
G,6,Sample X78,0.353,
G,7,Sample X79,0.342,
G,8,Sample X80,0.330,
G,9,Sample X81,0.283,
G,10,Sample X82,0.267,
G,11,Sample X83,0.281,
G,12,Sample X84,0.267,
H,1,Sample X85,0.303,
H,2,Sample X86,0.302,
H,3,Sample X87,0.297,
H,4,Sample X88,0.293,
H,5,Sample X89,0.350,
H,6,Sample X90,0.318,
H,7,Sample X91,0.335,
H,8,Sample X92,0.352,
H,9,Sample X93,0.301,
H,10,Sample X94,0.283,
H,11,Sample X95,0.281,
H,12,Sample X96,0.262,
