User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 174
Test name: A750,Date: 11/17/2016,Time: 2:50:19 PM
Absorbance

Well Row,Well Col,Content,Raw Data (750BP),
A,1,Sample X1,0.521,
A,2,Sample X2,0.436,
A,3,Sample X3,0.358,
A,4,Sample X4,0.322,
A,5,Sample X5,0.301,
A,6,Sample X6,0.277,
A,7,Sample X7,0.401,
A,8,Sample X8,0.392,
A,9,Sample X9,0.335,
A,10,Sample X10,0.329,
A,11,Sample X11,0.397,
A,12,Sample X12,0.393,
B,1,Sample X13,0.356,
B,2,Sample X14,0.351,
B,3,Sample X15,0.331,
B,4,Sample X16,0.305,
B,5,Sample X17,0.394,
B,6,Sample X18,0.387,
B,7,Sample X19,0.306,
B,8,Sample X20,0.297,
B,9,Sample X21,0.336,
B,10,Sample X22,0.324,
B,11,Sample X23,0.317,
B,12,Sample X24,0.321,
C,1,Sample X25,0.412,
C,2,Sample X26,0.422,
C,3,Sample X27,0.383,
C,4,Sample X28,0.386,
C,5,Sample X29,0.409,
C,6,Sample X30,0.402,
C,7,Sample X31,0.405,
C,8,Sample X32,0.411,
C,9,Sample X33,0.374,
C,10,Sample X34,0.358,
C,11,Sample X35,0.423,
C,12,Sample X36,0.405,
D,1,Sample X37,0.372,
D,2,Sample X38,0.376,
D,3,Sample X39,0.382,
D,4,Sample X40,0.369,
D,5,Sample X41,0.415,
D,6,Sample X42,0.415,
D,7,Sample X43,0.469,
D,8,Sample X44,0.479,
D,9,Sample X45,0.593,
D,10,Sample X46,0.604,
D,11,Sample X47,0.088,
D,12,Sample X48,0.090,
E,1,Sample X49,0.558,
E,2,Sample X50,0.439,
E,3,Sample X51,0.351,
E,4,Sample X52,0.327,
E,5,Sample X53,0.295,
E,6,Sample X54,0.271,
E,7,Sample X55,0.087,
E,8,Sample X56,0.085,
E,9,Sample X57,0.085,
E,10,Sample X58,0.089,
E,11,Sample X59,0.080,
E,12,Sample X60,0.087,
F,1,Sample X61,0.088,
F,2,Sample X62,0.082,
F,3,Sample X63,0.087,
F,4,Sample X64,0.089,
F,5,Sample X65,0.086,
F,6,Sample X66,0.086,
F,7,Sample X67,0.094,
F,8,Sample X68,0.084,
F,9,Sample X69,0.085,
F,10,Sample X70,0.084,
F,11,Sample X71,0.080,
F,12,Sample X72,0.087,
G,1,Sample X73,0.084,
G,2,Sample X74,0.086,
G,3,Sample X75,0.085,
G,4,Sample X76,0.085,
G,5,Sample X77,0.087,
G,6,Sample X78,0.091,
G,7,Sample X79,0.100,
G,8,Sample X80,0.087,
G,9,Sample X81,0.084,
G,10,Sample X82,0.085,
G,11,Sample X83,0.091,
G,12,Sample X84,0.094,
H,1,Sample X85,0.082,
H,2,Sample X86,0.095,
H,3,Sample X87,0.087,
H,4,Sample X88,0.086,
H,5,Sample X89,0.083,
H,6,Sample X90,0.084,
H,7,Sample X91,0.088,
H,8,Sample X92,0.083,
H,9,Sample X93,0.083,
H,10,Sample X94,0.086,
H,11,Sample X95,0.090,
H,12,Sample X96,0.087,
