User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 176
Test name: A750,Date: 1/9/2017,Time: 5:08:38 PM
Absorbance

Well Row,Well Col,Content,Raw Data (750BP),
A,1,Sample X1,0.290,
A,2,Sample X2,0.258,
A,3,Sample X3,0.290,
A,4,Sample X4,0.278,
A,5,Sample X5,0.280,
A,6,Sample X6,0.305,
A,7,Sample X7,0.220,
A,8,Sample X8,0.202,
A,9,Sample X9,0.039,
A,10,Sample X10,0.040,
A,11,Sample X11,0.036,
A,12,Sample X12,0.042,
B,1,Sample X13,0.284,
B,2,Sample X14,0.290,
B,3,Sample X15,0.561,
B,4,Sample X16,0.256,
B,5,Sample X17,0.353,
B,6,Sample X18,0.313,
B,7,Sample X19,0.316,
B,8,Sample X20,0.344,
B,9,Sample X21,0.257,
B,10,Sample X22,0.263,
B,11,Sample X23,0.275,
B,12,Sample X24,0.291,
C,1,Sample X25,0.307,
C,2,Sample X26,0.290,
C,3,Sample X27,0.499,
C,4,Sample X28,0.293,
C,5,Sample X29,0.452,
C,6,Sample X30,0.521,
C,7,Sample X31,0.304,
C,8,Sample X32,0.333,
C,9,Sample X33,0.271,
C,10,Sample X34,0.405,
C,11,Sample X35,0.316,
C,12,Sample X36,0.305,
D,1,Sample X37,0.356,
D,2,Sample X38,0.308,
D,3,Sample X39,0.293,
D,4,Sample X40,0.336,
D,5,Sample X41,0.288,
D,6,Sample X42,0.298,
D,7,Sample X43,0.260,
D,8,Sample X44,0.275,
D,9,Sample X45,0.254,
D,10,Sample X46,0.299,
D,11,Sample X47,0.210,
D,12,Sample X48,0.210,
E,1,Sample X49,0.361,
E,2,Sample X50,0.379,
E,3,Sample X51,0.042,
E,4,Sample X52,0.043,
E,5,Sample X53,0.038,
E,6,Sample X54,0.043,
E,7,Sample X55,0.043,
E,8,Sample X56,0.044,
E,9,Sample X57,0.042,
E,10,Sample X58,0.043,
E,11,Sample X59,0.042,
E,12,Sample X60,0.044,
F,1,Sample X61,0.488,
F,2,Sample X62,0.384,
F,3,Sample X63,0.291,
F,4,Sample X64,0.257,
F,5,Sample X65,0.229,
F,6,Sample X66,0.211,
F,7,Sample X67,0.493,
F,8,Sample X68,0.357,
F,9,Sample X69,0.288,
F,10,Sample X70,0.240,
F,11,Sample X71,0.225,
F,12,Sample X72,0.202,
G,1,Sample X73,0.042,
G,2,Sample X74,0.042,
G,3,Sample X75,0.046,
G,4,Sample X76,0.043,
G,5,Sample X77,0.043,
G,6,Sample X78,0.042,
G,7,Sample X79,0.043,
G,8,Sample X80,0.040,
G,9,Sample X81,0.042,
G,10,Sample X82,0.041,
G,11,Sample X83,0.045,
G,12,Sample X84,0.044,
H,1,Sample X85,0.043,
H,2,Sample X86,0.043,
H,3,Sample X87,0.044,
H,4,Sample X88,0.045,
H,5,Sample X89,0.039,
H,6,Sample X90,0.045,
H,7,Sample X91,0.046,
H,8,Sample X92,0.040,
H,9,Sample X93,0.044,
H,10,Sample X94,0.048,
H,11,Sample X95,0.042,
H,12,Sample X96,0.040,
