row	col	stype	detail	dilution
A	1	control	poscon lo	1
A	2	control	blocking	1
A	3	sample	1847+1%WB	10
A	4	sample	1847+1%WB	10
A	5	sample	v1208.1-Tx3x-Tween-3	50
A	6	sample	v1208.1-Tx3x-Tween-3	50
B	1	control	poscon hi	1
B	2	control	negcon	1
B	3	sample	1847+0.1%WB	10
B	4	sample	1847+0.1%WB	10
B	5	sample	v1208.1-Tx3x-PBS-1	50
B	6	sample	v1208.1-Tx3x-PBS-1	50
C	1	standard	1	1
C	2	standard	1	1
C	3	sample	1847+0.01%WB	10
C	4	sample	1847+0.01%WB	10
C	5	sample	v1208.1-Tx3x-PBS-2	50
C	6	sample	v1208.1-Tx3x-PBS-2	50
D	1	standard	2	1
D	2	standard	2	1
D	3	sample	1847+EDTA50uM	10
D	4	sample	1847+EDTA50uM	10
D	5	sample	v1208.1-Tx3x-PBS-3	50
D	6	sample	v1208.1-Tx3x-PBS-3	50
E	1	standard	4	1
E	2	standard	4	1
E	3	sample	1847+PBS	10
E	4	sample	1847+PBS	10
E	5	sample	v1208.1-Tx3x-tip-1	50
E	6	sample	v1208.1-Tx3x-tip-1	50
F	1	standard	5	1
F	2	standard	5	1
F	3	sample	1847+tip	10
F	4	sample	1847+tip	10
F	5	sample	v1208.1-Tx3x-tip-2	50
F	6	sample	v1208.1-Tx3x-tip-2	50
G	1	standard	10	1
G	2	standard	10	1
G	3	sample	v1208.1-Tx3x-Tween-1	50
G	4	sample	v1208.1-Tx3x-Tween-1	50
G	5	sample	v1208.1-Tx3x-tip-3	50
G	6	sample	v1208.1-Tx3x-tip-3	50
H	1	standard	20	1
H	2	standard	20	1
H	3	sample	v1208.1-Tx3x-Tween-2	50
H	4	sample	v1208.1-Tx3x-Tween-2	50
H	5	sample	v1187.3	100
H	6	sample	v1187.3	100
