User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 14
Test name: A450,Date: 10/30/2017,Time: 3:25:40 PM
Absorbance

Well Row,Well Col,Content,Raw Data (450BP 1),Raw Data (620BP 2),
A,1,Sample X1,0.259,0.204,
A,2,Sample X2,0.345,0.224,
A,3,Sample X3,0.484,0.212,
A,4,Sample X4,0.567,0.197,
A,5,Sample X5,0.965,0.182,
A,6,Sample X6,1.820,0.185,
A,7,Sample X7,0.241,0.182,
A,8,Sample X8,0.268,0.181,
A,9,Sample X9,0.413,0.167,
A,10,Sample X10,0.513,0.192,
A,11,Sample X11,0.986,0.189,
A,12,Sample X12,1.815,0.175,
B,1,Sample X13,1.108,0.176,
B,2,Sample X14,0.401,0.204,
B,3,Sample X15,0.177,0.183,
B,4,Sample X16,0.178,0.177,
B,5,Sample X17,0.861,0.181,
B,6,Sample X18,0.829,0.169,
B,7,Sample X19,0.932,0.172,
B,8,Sample X20,0.865,0.178,
B,9,Sample X21,0.529,0.180,
B,10,Sample X22,0.511,0.174,
B,11,Sample X23,2.336,0.168,
B,12,Sample X24,2.210,0.163,
C,1,Sample X25,0.425,0.172,
C,2,Sample X26,0.471,0.230,
C,3,Sample X27,1.828,0.193,
C,4,Sample X28,1.769,0.186,
C,5,Sample X29,0.455,0.188,
C,6,Sample X30,0.491,0.183,
C,7,Sample X31,1.850,0.169,
C,8,Sample X32,1.673,0.174,
C,9,Sample X33,0.431,0.166,
C,10,Sample X34,0.380,0.181,
C,11,Sample X35,1.728,0.180,
C,12,Sample X36,1.698,0.165,
D,1,Sample X37,0.296,0.183,
D,2,Sample X38,0.340,0.218,
D,3,Sample X39,1.050,0.185,
D,4,Sample X40,0.940,0.173,
D,5,Sample X41,0.344,0.174,
D,6,Sample X42,0.354,0.170,
D,7,Sample X43,1.421,0.165,
D,8,Sample X44,1.271,0.180,
D,9,Sample X45,0.423,0.175,
D,10,Sample X46,0.356,0.166,
D,11,Sample X47,1.682,0.167,
D,12,Sample X48,1.770,0.157,
E,1,Sample X49,0.245,0.149,
E,2,Sample X50,0.291,0.181,
E,3,Sample X51,1.017,0.177,
E,4,Sample X52,1.054,0.176,
E,5,Sample X53,0.292,0.164,
E,6,Sample X54,0.341,0.164,
E,7,Sample X55,1.109,0.151,
E,8,Sample X56,1.129,0.150,
E,9,Sample X57,0.281,0.152,
E,10,Sample X58,0.309,0.182,
E,11,Sample X59,1.136,0.155,
E,12,Sample X60,1.180,0.145,
F,1,Sample X61,0.298,0.147,
F,2,Sample X62,0.354,0.175,
F,3,Sample X63,1.428,0.157,
F,4,Sample X64,1.355,0.159,
F,5,Sample X65,0.259,0.141,
F,6,Sample X66,0.244,0.131,
F,7,Sample X67,1.095,0.135,
F,8,Sample X68,1.068,0.144,
F,9,Sample X69,0.221,0.141,
F,10,Sample X70,0.218,0.132,
F,11,Sample X71,0.773,0.134,
F,12,Sample X72,0.784,0.130,
G,1,Sample X73,0.332,0.148,
G,2,Sample X74,0.350,0.172,
G,3,Sample X75,1.217,0.148,
G,4,Sample X76,1.185,0.165,
G,5,Sample X77,0.227,0.152,
G,6,Sample X78,0.361,0.154,
G,7,Sample X79,0.752,0.140,
G,8,Sample X80,0.671,0.138,
G,9,Sample X81,0.133,0.140,
G,10,Sample X82,0.160,0.163,
G,11,Sample X83,0.219,0.139,
G,12,Sample X84,0.222,0.129,
H,1,Sample X85,0.416,0.177,
H,2,Sample X86,0.446,0.184,
H,3,Sample X87,1.895,0.177,
H,4,Sample X88,1.619,0.175,
H,5,Sample X89,0.138,0.149,
H,6,Sample X90,0.142,0.142,
H,7,Sample X91,0.194,0.139,
H,8,Sample X92,0.207,0.146,
H,9,Sample X93,0.228,0.167,
H,10,Sample X94,0.267,0.166,
H,11,Sample X95,0.640,0.155,
H,12,Sample X96,0.557,0.147,
