User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 179
Test name: A450,Date: 1/19/2017,Time: 3:15:31 PM
Absorbance

Well Row,Well Col,Content,Raw Data (450BP 1),Raw Data (620BP 2),
A,1,Sample X1,0.294,0.178,
A,2,Sample X2,0.420,0.206,
A,3,Sample X3,0.567,0.192,
A,4,Sample X4,0.618,0.180,
A,5,Sample X5,1.042,0.178,
A,6,Sample X6,2.179,0.177,
A,7,Sample X7,0.281,0.170,
A,8,Sample X8,0.392,0.186,
A,9,Sample X9,0.548,0.176,
A,10,Sample X10,0.652,0.165,
A,11,Sample X11,1.155,0.176,
A,12,Sample X12,2.193,0.214,
B,1,Sample X13,0.321,0.163,
B,2,Sample X14,0.313,0.183,
B,3,Sample X15,0.211,0.169,
B,4,Sample X16,0.213,0.162,
B,5,Sample X17,0.864,0.169,
B,6,Sample X18,0.541,0.157,
B,7,Sample X19,0.193,0.149,
B,8,Sample X20,0.362,0.162,
B,9,Sample X21,0.836,0.175,
B,10,Sample X22,0.866,0.172,
B,11,Sample X23,0.300,0.159,
B,12,Sample X24,0.315,0.186,
C,1,Sample X25,0.482,0.160,
C,2,Sample X26,0.394,0.189,
C,3,Sample X27,0.222,0.187,
C,4,Sample X28,0.250,0.173,
C,5,Sample X29,0.764,0.169,
C,6,Sample X30,0.573,0.172,
C,7,Sample X31,0.237,0.160,
C,8,Sample X32,0.328,0.172,
C,9,Sample X33,2.223,0.170,
C,10,Sample X34,1.961,0.167,
C,11,Sample X35,0.487,0.160,
C,12,Sample X36,0.508,0.203,
D,1,Sample X37,0.798,0.165,
D,2,Sample X38,0.783,0.181,
D,3,Sample X39,0.357,0.173,
D,4,Sample X40,0.257,0.161,
D,5,Sample X41,2.792,0.167,
D,6,Sample X42,2.648,0.159,
D,7,Sample X43,1.153,0.150,
D,8,Sample X44,0.450,0.164,
D,9,Sample X45,1.187,0.151,
D,10,Sample X46,1.093,0.164,
D,11,Sample X47,0.474,0.159,
D,12,Sample X48,0.275,0.188,
E,1,Sample X49,1.928,0.151,
E,2,Sample X50,1.674,0.167,
E,3,Sample X51,0.508,0.163,
E,4,Sample X52,0.444,0.163,
E,5,Sample X53,4.114,0.166,
E,6,Sample X54,3.871,0.145,
E,7,Sample X55,0.938,0.147,
E,8,Sample X56,0.985,0.153,
E,9,Sample X57,4.017,0.157,
E,10,Sample X58,3.938,0.149,
E,11,Sample X59,1.014,0.158,
E,12,Sample X60,0.810,0.175,
F,1,Sample X61,1.209,0.134,
F,2,Sample X62,0.997,0.155,
F,3,Sample X63,0.362,0.145,
F,4,Sample X64,0.293,0.146,
F,5,Sample X65,2.629,0.134,
F,6,Sample X66,2.496,0.136,
F,7,Sample X67,0.609,0.135,
F,8,Sample X68,0.609,0.142,
F,9,Sample X69,3.239,0.142,
F,10,Sample X70,3.437,0.145,
F,11,Sample X71,0.785,0.140,
F,12,Sample X72,0.841,0.153,
G,1,Sample X73,0.925,0.133,
G,2,Sample X74,1.177,0.150,
G,3,Sample X75,0.436,0.149,
G,4,Sample X76,0.249,0.148,
G,5,Sample X77,3.602,0.145,
G,6,Sample X78,3.570,0.145,
G,7,Sample X79,0.906,0.122,
G,8,Sample X80,0.936,0.137,
G,9,Sample X81,3.026,0.142,
G,10,Sample X82,2.776,0.146,
G,11,Sample X83,0.715,0.143,
G,12,Sample X84,0.750,0.155,
H,1,Sample X85,1.184,0.142,
H,2,Sample X86,0.408,0.155,
H,3,Sample X87,0.174,0.152,
H,4,Sample X88,0.174,0.150,
H,5,Sample X89,0.280,0.146,
H,6,Sample X90,0.266,0.145,
H,7,Sample X91,0.268,0.133,
H,8,Sample X92,0.285,0.143,
H,9,Sample X93,0.346,0.151,
H,10,Sample X94,0.331,0.136,
H,11,Sample X95,0.367,0.150,
H,12,Sample X96,0.345,0.166,
