User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 8
Test name: A450,Date: 6/1/2017,Time: 1:39:44 PM
Absorbance

Well Row,Well Col,Content,Raw Data (450BP),
A,1,Sample X1,1.448,
A,2,Sample X2,1.133,
A,3,Sample X3,0.605,
A,4,Sample X4,0.357,
A,5,Sample X5,0.242,
A,6,Sample X6,0.187,
A,7,Sample X7,0.166,
A,8,Sample X8,0.146,
A,9,Sample X9,0.171,
A,10,Sample X10,0.172,
A,11,Sample X11,0.153,
A,12,Sample X12,0.141,
B,1,Sample X13,0.484,
B,2,Sample X14,0.506,
B,3,Sample X15,0.190,
B,4,Sample X16,0.201,
B,5,Sample X17,0.190,
B,6,Sample X18,0.188,
B,7,Sample X19,0.177,
B,8,Sample X20,0.188,
B,9,Sample X21,0.231,
B,10,Sample X22,0.249,
B,11,Sample X23,0.152,
B,12,Sample X24,0.148,
C,1,Sample X25,0.170,
C,2,Sample X26,0.167,
C,3,Sample X27,0.155,
C,4,Sample X28,0.163,
C,5,Sample X29,0.205,
C,6,Sample X30,0.198,
C,7,Sample X31,0.182,
C,8,Sample X32,0.158,
C,9,Sample X33,1.085,
C,10,Sample X34,1.094,
C,11,Sample X35,0.354,
C,12,Sample X36,0.350,
D,1,Sample X37,0.188,
D,2,Sample X38,0.175,
D,3,Sample X39,0.177,
D,4,Sample X40,0.179,
D,5,Sample X41,0.221,
D,6,Sample X42,0.198,
D,7,Sample X43,0.190,
D,8,Sample X44,0.175,
D,9,Sample X45,1.695,
D,10,Sample X46,1.625,
D,11,Sample X47,1.118,
D,12,Sample X48,1.078,
E,1,Sample X49,0.538,
E,2,Sample X50,0.471,
E,3,Sample X51,0.185,
E,4,Sample X52,0.197,
E,5,Sample X53,0.803,
E,6,Sample X54,0.778,
E,7,Sample X55,0.242,
E,8,Sample X56,0.259,
E,9,Sample X57,0.548,
E,10,Sample X58,0.532,
E,11,Sample X59,0.189,
E,12,Sample X60,0.194,
F,1,Sample X61,1.056,
F,2,Sample X62,0.968,
F,3,Sample X63,0.347,
F,4,Sample X64,0.318,
F,5,Sample X65,0.166,
F,6,Sample X66,0.159,
F,7,Sample X67,0.139,
F,8,Sample X68,0.159,
F,9,Sample X69,0.751,
F,10,Sample X70,0.721,
F,11,Sample X71,0.227,
F,12,Sample X72,0.236,
G,1,Sample X73,0.944,
G,2,Sample X74,0.848,
G,3,Sample X75,0.259,
G,4,Sample X76,0.277,
G,5,Sample X77,0.141,
G,6,Sample X78,0.138,
G,7,Sample X79,0.132,
G,8,Sample X80,0.133,
G,9,Sample X81,0.135,
G,10,Sample X82,0.130,
G,11,Sample X83,0.117,
G,12,Sample X84,0.130,
H,1,Sample X85,1.722,
H,2,Sample X86,1.395,
H,3,Sample X87,1.395,
H,4,Sample X88,1.416,
H,5,Sample X89,1.271,
H,6,Sample X90,0.953,
H,7,Sample X91,0.532,
H,8,Sample X92,0.292,
H,9,Sample X93,0.193,
H,10,Sample X94,0.172,
H,11,Sample X95,0.140,
H,12,Sample X96,0.128,
