User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 172
Test name: A620,Date: 11/10/2016,Time: 6:40:14 PM
Absorbance

Well Row,Well Col,Content,Raw Data (620BP),
A,1,Sample X1,0.223,
A,2,Sample X2,0.202,
A,3,Sample X3,0.195,
A,4,Sample X4,0.184,
A,5,Sample X5,0.209,
A,6,Sample X6,0.193,
A,7,Sample X7,0.173,
A,8,Sample X8,0.176,
A,9,Sample X9,0.215,
A,10,Sample X10,0.194,
A,11,Sample X11,0.176,
A,12,Sample X12,0.178,
B,1,Sample X13,0.202,
B,2,Sample X14,0.208,
B,3,Sample X15,0.217,
B,4,Sample X16,0.195,
B,5,Sample X17,0.191,
B,6,Sample X18,0.192,
B,7,Sample X19,0.193,
B,8,Sample X20,0.181,
B,9,Sample X21,0.169,
B,10,Sample X22,0.184,
B,11,Sample X23,0.158,
B,12,Sample X24,0.163,
C,1,Sample X25,0.207,
C,2,Sample X26,0.192,
C,3,Sample X27,0.191,
C,4,Sample X28,0.190,
C,5,Sample X29,0.191,
C,6,Sample X30,0.186,
C,7,Sample X31,0.173,
C,8,Sample X32,0.177,
C,9,Sample X33,0.184,
C,10,Sample X34,0.169,
C,11,Sample X35,0.161,
C,12,Sample X36,0.186,
D,1,Sample X37,0.226,
D,2,Sample X38,0.335,
D,3,Sample X39,0.238,
D,4,Sample X40,0.216,
D,5,Sample X41,0.225,
D,6,Sample X42,0.208,
D,7,Sample X43,0.213,
D,8,Sample X44,0.191,
D,9,Sample X45,0.192,
D,10,Sample X46,0.180,
D,11,Sample X47,0.170,
D,12,Sample X48,0.174,
E,1,Sample X49,0.208,
E,2,Sample X50,0.202,
E,3,Sample X51,0.180,
E,4,Sample X52,0.190,
E,5,Sample X53,0.181,
E,6,Sample X54,0.180,
E,7,Sample X55,0.150,
E,8,Sample X56,0.166,
E,9,Sample X57,0.166,
E,10,Sample X58,0.164,
E,11,Sample X59,0.149,
E,12,Sample X60,0.157,
F,1,Sample X61,0.169,
F,2,Sample X62,0.176,
F,3,Sample X63,0.172,
F,4,Sample X64,0.173,
F,5,Sample X65,0.189,
F,6,Sample X66,0.186,
F,7,Sample X67,0.170,
F,8,Sample X68,0.175,
F,9,Sample X69,0.167,
F,10,Sample X70,0.154,
F,11,Sample X71,0.139,
F,12,Sample X72,0.148,
G,1,Sample X73,0.177,
G,2,Sample X74,0.172,
G,3,Sample X75,0.157,
G,4,Sample X76,0.157,
G,5,Sample X77,0.162,
G,6,Sample X78,0.167,
G,7,Sample X79,0.133,
G,8,Sample X80,0.149,
G,9,Sample X81,0.149,
G,10,Sample X82,0.166,
G,11,Sample X83,0.133,
G,12,Sample X84,0.153,
H,1,Sample X85,0.163,
H,2,Sample X86,0.184,
H,3,Sample X87,0.170,
H,4,Sample X88,0.174,
H,5,Sample X89,0.169,
H,6,Sample X90,0.170,
H,7,Sample X91,0.153,
H,8,Sample X92,0.164,
H,9,Sample X93,0.172,
H,10,Sample X94,0.158,
H,11,Sample X95,0.136,
H,12,Sample X96,0.139,
