User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 171
Test name: A620,Date: 11/10/2016,Time: 6:35:54 PM
Absorbance

Well Row,Well Col,Content,Raw Data (620BP),
A,1,Sample X1,0.070,
A,2,Sample X2,0.091,
A,3,Sample X3,0.078,
A,4,Sample X4,0.087,
A,5,Sample X5,0.103,
A,6,Sample X6,0.085,
A,7,Sample X7,0.097,
A,8,Sample X8,0.081,
A,9,Sample X9,0.116,
A,10,Sample X10,0.086,
A,11,Sample X11,0.105,
A,12,Sample X12,0.101,
B,1,Sample X13,0.062,
B,2,Sample X14,0.073,
B,3,Sample X15,0.059,
B,4,Sample X16,0.062,
B,5,Sample X17,0.055,
B,6,Sample X18,0.053,
B,7,Sample X19,0.049,
B,8,Sample X20,0.052,
B,9,Sample X21,0.049,
B,10,Sample X22,0.052,
B,11,Sample X23,0.069,
B,12,Sample X24,0.091,
C,1,Sample X25,0.063,
C,2,Sample X26,0.081,
C,3,Sample X27,0.073,
C,4,Sample X28,0.088,
C,5,Sample X29,0.102,
C,6,Sample X30,0.087,
C,7,Sample X31,0.092,
C,8,Sample X32,0.096,
C,9,Sample X33,0.104,
C,10,Sample X34,0.077,
C,11,Sample X35,0.085,
C,12,Sample X36,0.089,
D,1,Sample X37,0.071,
D,2,Sample X38,0.231,
D,3,Sample X39,0.065,
D,4,Sample X40,0.069,
D,5,Sample X41,0.076,
D,6,Sample X42,0.066,
D,7,Sample X43,0.067,
D,8,Sample X44,0.064,
D,9,Sample X45,0.073,
D,10,Sample X46,0.061,
D,11,Sample X47,0.077,
D,12,Sample X48,0.077,
E,1,Sample X49,0.067,
E,2,Sample X50,0.090,
E,3,Sample X51,0.077,
E,4,Sample X52,0.081,
E,5,Sample X53,0.087,
E,6,Sample X54,0.096,
E,7,Sample X55,0.072,
E,8,Sample X56,0.090,
E,9,Sample X57,0.083,
E,10,Sample X58,0.087,
E,11,Sample X59,0.078,
E,12,Sample X60,0.079,
F,1,Sample X61,0.052,
F,2,Sample X62,0.056,
F,3,Sample X63,0.050,
F,4,Sample X64,0.056,
F,5,Sample X65,0.065,
F,6,Sample X66,0.060,
F,7,Sample X67,0.061,
F,8,Sample X68,0.057,
F,9,Sample X69,0.048,
F,10,Sample X70,0.051,
F,11,Sample X71,0.052,
F,12,Sample X72,0.072,
G,1,Sample X73,0.087,
G,2,Sample X74,0.066,
G,3,Sample X75,0.055,
G,4,Sample X76,0.057,
G,5,Sample X77,0.093,
G,6,Sample X78,0.087,
G,7,Sample X79,0.066,
G,8,Sample X80,0.076,
G,9,Sample X81,0.076,
G,10,Sample X82,0.094,
G,11,Sample X83,0.071,
G,12,Sample X84,0.075,
H,1,Sample X85,0.055,
H,2,Sample X86,0.057,
H,3,Sample X87,0.067,
H,4,Sample X88,0.057,
H,5,Sample X89,0.077,
H,6,Sample X90,0.081,
H,7,Sample X91,0.083,
H,8,Sample X92,0.066,
H,9,Sample X93,0.090,
H,10,Sample X94,0.082,
H,11,Sample X95,0.069,
H,12,Sample X96,0.059,
