User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 169
Test name: A450,Date: 11/10/2016,Time: 6:29:01 PM
Absorbance

Well Row,Well Col,Content,Raw Data (450BP),
A,1,Sample X1,1.278,
A,2,Sample X2,1.313,
A,3,Sample X3,0.883,
A,4,Sample X4,0.436,
A,5,Sample X5,0.265,
A,6,Sample X6,0.160,
A,7,Sample X7,0.133,
A,8,Sample X8,0.114,
A,9,Sample X9,1.939,
A,10,Sample X10,1.897,
A,11,Sample X11,1.873,
A,12,Sample X12,1.688,
B,1,Sample X13,1.577,
B,2,Sample X14,1.891,
B,3,Sample X15,0.649,
B,4,Sample X16,0.664,
B,5,Sample X17,0.098,
B,6,Sample X18,0.097,
B,7,Sample X19,0.074,
B,8,Sample X20,0.072,
B,9,Sample X21,0.117,
B,10,Sample X22,0.117,
B,11,Sample X23,0.090,
B,12,Sample X24,0.114,
C,1,Sample X25,0.847,
C,2,Sample X26,0.995,
C,3,Sample X27,0.255,
C,4,Sample X28,0.283,
C,5,Sample X29,0.706,
C,6,Sample X30,0.709,
C,7,Sample X31,0.188,
C,8,Sample X32,0.195,
C,9,Sample X33,0.205,
C,10,Sample X34,0.181,
C,11,Sample X35,0.113,
C,12,Sample X36,0.123,
D,1,Sample X37,1.665,
D,2,Sample X38,2.091,
D,3,Sample X39,0.748,
D,4,Sample X40,0.767,
D,5,Sample X41,1.981,
D,6,Sample X42,1.966,
D,7,Sample X43,1.347,
D,8,Sample X44,1.376,
D,9,Sample X45,0.643,
D,10,Sample X46,0.677,
D,11,Sample X47,0.183,
D,12,Sample X48,0.193,
E,1,Sample X49,1.839,
E,2,Sample X50,2.075,
E,3,Sample X51,1.436,
E,4,Sample X52,1.468,
E,5,Sample X53,0.998,
E,6,Sample X54,1.015,
E,7,Sample X55,0.289,
E,8,Sample X56,0.293,
E,9,Sample X57,0.100,
E,10,Sample X58,0.113,
E,11,Sample X59,0.093,
E,12,Sample X60,0.100,
F,1,Sample X61,0.083,
F,2,Sample X62,0.100,
F,3,Sample X63,0.075,
F,4,Sample X64,0.086,
F,5,Sample X65,1.980,
F,6,Sample X66,1.950,
F,7,Sample X67,1.201,
F,8,Sample X68,1.185,
F,9,Sample X69,0.098,
F,10,Sample X70,0.098,
F,11,Sample X71,0.094,
F,12,Sample X72,0.097,
G,1,Sample X73,1.054,
G,2,Sample X74,1.146,
G,3,Sample X75,0.352,
G,4,Sample X76,0.330,
G,5,Sample X77,1.923,
G,6,Sample X78,1.843,
G,7,Sample X79,1.100,
G,8,Sample X80,1.090,
G,9,Sample X81,1.760,
G,10,Sample X82,1.921,
G,11,Sample X83,1.379,
G,12,Sample X84,1.339,
H,1,Sample X85,0.339,
H,2,Sample X86,0.381,
H,3,Sample X87,0.124,
H,4,Sample X88,0.123,
H,5,Sample X89,1.804,
H,6,Sample X90,1.503,
H,7,Sample X91,0.926,
H,8,Sample X92,0.546,
H,9,Sample X93,0.271,
H,10,Sample X94,0.162,
H,11,Sample X95,0.112,
H,12,Sample X96,0.080,
