User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 167
Test name: A450,Date: 11/10/2016,Time: 6:13:46 PM
Absorbance

Well Row,Well Col,Content,Raw Data (450BP),
A,1,Sample X1,1.385,
A,2,Sample X2,1.323,
A,3,Sample X3,0.905,
A,4,Sample X4,0.451,
A,5,Sample X5,0.300,
A,6,Sample X6,0.210,
A,7,Sample X7,0.170,
A,8,Sample X8,0.155,
A,9,Sample X9,1.998,
A,10,Sample X10,1.919,
A,11,Sample X11,1.824,
A,12,Sample X12,1.643,
B,1,Sample X13,1.615,
B,2,Sample X14,1.965,
B,3,Sample X15,0.738,
B,4,Sample X16,0.719,
B,5,Sample X17,0.185,
B,6,Sample X18,0.193,
B,7,Sample X19,0.184,
B,8,Sample X20,0.171,
B,9,Sample X21,0.217,
B,10,Sample X22,0.208,
B,11,Sample X23,0.148,
B,12,Sample X24,0.153,
C,1,Sample X25,0.903,
C,2,Sample X26,1.019,
C,3,Sample X27,0.316,
C,4,Sample X28,0.314,
C,5,Sample X29,0.713,
C,6,Sample X30,0.722,
C,7,Sample X31,0.225,
C,8,Sample X32,0.234,
C,9,Sample X33,0.231,
C,10,Sample X34,0.227,
C,11,Sample X35,0.159,
C,12,Sample X36,0.169,
D,1,Sample X37,1.741,
D,2,Sample X38,2.094,
D,3,Sample X39,0.840,
D,4,Sample X40,0.840,
D,5,Sample X41,2.089,
D,6,Sample X42,2.018,
D,7,Sample X43,1.435,
D,8,Sample X44,1.450,
D,9,Sample X45,0.736,
D,10,Sample X46,0.730,
D,11,Sample X47,0.237,
D,12,Sample X48,0.235,
E,1,Sample X49,1.906,
E,2,Sample X50,2.099,
E,3,Sample X51,1.468,
E,4,Sample X52,1.516,
E,5,Sample X53,1.008,
E,6,Sample X54,1.027,
E,7,Sample X55,0.298,
E,8,Sample X56,0.317,
E,9,Sample X57,0.149,
E,10,Sample X58,0.153,
E,11,Sample X59,0.156,
E,12,Sample X60,0.144,
F,1,Sample X61,0.163,
F,2,Sample X62,0.167,
F,3,Sample X63,0.161,
F,4,Sample X64,0.158,
F,5,Sample X65,2.011,
F,6,Sample X66,1.970,
F,7,Sample X67,1.189,
F,8,Sample X68,1.208,
F,9,Sample X69,0.163,
F,10,Sample X70,0.143,
F,11,Sample X71,0.132,
F,12,Sample X72,0.141,
G,1,Sample X73,1.030,
G,2,Sample X74,1.175,
G,3,Sample X75,0.397,
G,4,Sample X76,0.377,
G,5,Sample X77,1.926,
G,6,Sample X78,1.831,
G,7,Sample X79,1.090,
G,8,Sample X80,1.075,
G,9,Sample X81,1.764,
G,10,Sample X82,1.940,
G,11,Sample X83,1.380,
G,12,Sample X84,1.348,
H,1,Sample X85,0.386,
H,2,Sample X86,0.445,
H,3,Sample X87,0.199,
H,4,Sample X88,0.197,
H,5,Sample X89,1.857,
H,6,Sample X90,1.562,
H,7,Sample X91,0.962,
H,8,Sample X92,0.615,
H,9,Sample X93,0.323,
H,10,Sample X94,0.205,
H,11,Sample X95,0.163,
H,12,Sample X96,0.134,
