User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 180
Test name: A450,Date: 1/27/2017,Time: 4:52:26 PM
Absorbance

Well Row,Well Col,Content,Raw Data (450BP),
A,1,Sample X1,0.245,
A,2,Sample X2,0.223,
A,3,Sample X3,0.222,
A,4,Sample X4,0.199,
A,5,Sample X5,0.231,
A,6,Sample X6,0.205,
A,7,Sample X7,0.201,
A,8,Sample X8,0.183,
A,9,Sample X9,0.193,
A,10,Sample X10,0.189,
A,11,Sample X11,0.234,
A,12,Sample X12,0.223,
B,1,Sample X13,0.244,
B,2,Sample X14,0.253,
B,3,Sample X15,0.248,
B,4,Sample X16,0.238,
B,5,Sample X17,0.239,
B,6,Sample X18,0.234,
B,7,Sample X19,0.209,
B,8,Sample X20,0.186,
B,9,Sample X21,0.209,
B,10,Sample X22,0.195,
B,11,Sample X23,0.201,
B,12,Sample X24,0.219,
C,1,Sample X25,0.221,
C,2,Sample X26,0.222,
C,3,Sample X27,0.235,
C,4,Sample X28,0.285,
C,5,Sample X29,0.294,
C,6,Sample X30,0.244,
C,7,Sample X31,0.194,
C,8,Sample X32,0.216,
C,9,Sample X33,0.204,
C,10,Sample X34,0.205,
C,11,Sample X35,0.179,
C,12,Sample X36,0.181,
D,1,Sample X37,0.230,
D,2,Sample X38,0.220,
D,3,Sample X39,0.253,
D,4,Sample X40,0.233,
D,5,Sample X41,0.253,
D,6,Sample X42,0.227,
D,7,Sample X43,0.231,
D,8,Sample X44,0.201,
D,9,Sample X45,0.205,
D,10,Sample X46,0.192,
D,11,Sample X47,0.212,
D,12,Sample X48,0.179,
E,1,Sample X49,0.207,
E,2,Sample X50,0.236,
E,3,Sample X51,0.220,
E,4,Sample X52,0.200,
E,5,Sample X53,0.187,
E,6,Sample X54,0.187,
E,7,Sample X55,0.175,
E,8,Sample X56,0.184,
E,9,Sample X57,0.198,
E,10,Sample X58,0.217,
E,11,Sample X59,0.167,
E,12,Sample X60,0.188,
F,1,Sample X61,0.202,
F,2,Sample X62,0.195,
F,3,Sample X63,0.198,
F,4,Sample X64,0.177,
F,5,Sample X65,0.212,
F,6,Sample X66,0.203,
F,7,Sample X67,0.194,
F,8,Sample X68,0.181,
F,9,Sample X69,0.175,
F,10,Sample X70,0.181,
F,11,Sample X71,0.172,
F,12,Sample X72,0.177,
G,1,Sample X73,0.184,
G,2,Sample X74,0.179,
G,3,Sample X75,0.196,
G,4,Sample X76,0.173,
G,5,Sample X77,0.191,
G,6,Sample X78,0.181,
G,7,Sample X79,0.165,
G,8,Sample X80,0.168,
G,9,Sample X81,0.184,
G,10,Sample X82,0.194,
G,11,Sample X83,0.169,
G,12,Sample X84,0.195,
H,1,Sample X85,0.196,
H,2,Sample X86,0.192,
H,3,Sample X87,0.196,
H,4,Sample X88,0.181,
H,5,Sample X89,0.199,
H,6,Sample X90,0.194,
H,7,Sample X91,0.183,
H,8,Sample X92,0.164,
H,9,Sample X93,0.184,
H,10,Sample X94,0.174,
H,11,Sample X95,0.157,
H,12,Sample X96,0.167,
