User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 185
Test name: A450,Date: 2/21/2017,Time: 4:35:01 PM
Absorbance

Well Row,Well Col,Content,Raw Data (450BP),
A,1,Sample X1,1.867,
A,2,Sample X2,1.415,
A,3,Sample X3,0.856,
A,4,Sample X4,0.457,
A,5,Sample X5,0.295,
A,6,Sample X6,0.213,
A,7,Sample X7,0.195,
A,8,Sample X8,0.162,
A,9,Sample X9,0.208,
A,10,Sample X10,0.192,
A,11,Sample X11,0.171,
A,12,Sample X12,0.185,
B,1,Sample X13,2.194,
B,2,Sample X14,2.266,
B,3,Sample X15,1.150,
B,4,Sample X16,1.155,
B,5,Sample X17,2.405,
B,6,Sample X18,0.177,
B,7,Sample X19,2.490,
B,8,Sample X20,2.361,
B,9,Sample X21,0.208,
B,10,Sample X22,0.191,
B,11,Sample X23,0.177,
B,12,Sample X24,0.184,
C,1,Sample X25,0.207,
C,2,Sample X26,0.193,
C,3,Sample X27,0.190,
C,4,Sample X28,0.177,
C,5,Sample X29,1.969,
C,6,Sample X30,1.635,
C,7,Sample X31,0.611,
C,8,Sample X32,0.627,
C,9,Sample X33,1.009,
C,10,Sample X34,1.036,
C,11,Sample X35,0.294,
C,12,Sample X36,0.306,
D,1,Sample X37,1.339,
D,2,Sample X38,1.287,
D,3,Sample X39,0.483,
D,4,Sample X40,0.451,
D,5,Sample X41,1.010,
D,6,Sample X42,0.859,
D,7,Sample X43,0.282,
D,8,Sample X44,0.290,
D,9,Sample X45,0.192,
D,10,Sample X46,0.178,
D,11,Sample X47,0.199,
D,12,Sample X48,0.163,
E,1,Sample X49,0.193,
E,2,Sample X50,0.186,
E,3,Sample X51,0.174,
E,4,Sample X52,0.163,
E,5,Sample X53,0.173,
E,6,Sample X54,0.161,
E,7,Sample X55,0.153,
E,8,Sample X56,0.158,
E,9,Sample X57,0.916,
E,10,Sample X58,0.923,
E,11,Sample X59,0.248,
E,12,Sample X60,0.259,
F,1,Sample X61,0.212,
F,2,Sample X62,0.196,
F,3,Sample X63,0.175,
F,4,Sample X64,0.162,
F,5,Sample X65,1.515,
F,6,Sample X66,1.419,
F,7,Sample X67,0.414,
F,8,Sample X68,0.438,
F,9,Sample X69,2.038,
F,10,Sample X70,2.097,
F,11,Sample X71,1.065,
F,12,Sample X72,0.153,
G,1,Sample X73,0.257,
G,2,Sample X74,0.274,
G,3,Sample X75,1.942,
G,4,Sample X76,1.972,
G,5,Sample X77,1.815,
G,6,Sample X78,1.348,
G,7,Sample X79,0.768,
G,8,Sample X80,0.401,
G,9,Sample X81,0.235,
G,10,Sample X82,0.185,
G,11,Sample X83,0.140,
G,12,Sample X84,0.157,
H,1,Sample X85,0.602,
H,2,Sample X86,0.164,
H,3,Sample X87,0.238,
H,4,Sample X88,0.218,
H,5,Sample X89,0.179,
H,6,Sample X90,0.167,
H,7,Sample X91,0.145,
H,8,Sample X92,0.158,
H,9,Sample X93,0.157,
H,10,Sample X94,0.177,
H,11,Sample X95,0.156,
H,12,Sample X96,0.159,
